"REF_SECTION_CODE","REF_QUESTION_CODE","DISPLAY_SORT","MANDATORY_IND","REF_SECTION_QUESTION","ANSWERS","INPUT_TYPE","MAXLENGTH","LOGICALPAGE","ALLOWNULL","REF_ASS_VERSION_CODE","VERSION_NUMBER"
"RMP","RM14","140","N","Is the offender subject to Prison Service Order 4400 Prisoner communications","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM15","150","N","Is the offender a conditionally discharged patient under Section 41 of the Mental Health Act 1983","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM16","160","N","Is the offender on life licence following a sentence of imprisonment or detention for public protection (Section 230 schedule 18)","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM17","170","N","Has the offender received an extended sentence","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM18","180","N","Current situation",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM2","10","N","Level 3 - Multi Agency Public Protection Panel (MAPPP)","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM20","10","N","1. Other agencies involved (provide brief outline of the activity of each agency that can be shared with the offender.  Cross-reference should be made to any supporting risk management framework used, e.g. child protection procedures).",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM21","20","N","2. Existing support/controls (in place or which can be activated if the offender is being released into the community).",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM22","30","N","3. Added measures for specific risks.  Include here all activity aimed at addressing victim perspective and contact.",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM23","40","N","4. Who will undertake the actions and by when (cross reference to any recent or planned MAPPA meeting).",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM24","50","N","5. Additional conditions/requirements to manage the specific risks.",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM25","60","N","6. Level of contact (including frequency of home visits)",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM26","70","N","7. Contingency",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM27","80","N","8. Additional Comments",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM28","320","N","<b>Further Considerations about Current Situation</b>",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM28.0.0","10","N","<b>Checklist Items Linked to Risk of Serious Harm<b/>",,,,,,"LAYER1","2"
"RMP","RM28.0.1","10","N","Use of Weapons",,,,,,"LAYER1","2"
"RMP","RM28.0.1.1","10","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.13","130","N","Domestic Abuse",,,,,,"LAYER1","2"
"RMP","RM28.0.13.1","130","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.14","140","N","Hate Crime",,,,,,"LAYER1","2"
"RMP","RM28.0.14.1","140","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.15","150","N","Stalking",,,,,,"LAYER1","2"
"RMP","RM28.0.15.1","150","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.16","160","N","Integrated Child Safeguarding Plan",,,,,,"LAYER1","2"
"RMP","RM28.0.16.1","160","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.17","170","N","Self-Harm/Suicide",,,,,,"LAYER1","2"
"RMP","RM28.0.17.1","170","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.18","180","N","Coping in Custody",,,,,,"LAYER1","2"
"RMP","RM28.0.18.1","180","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.19","190","N","Vulnerability",,,,,,"LAYER1","2"
"RMP","RM28.0.19.1","190","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.2","20","N","Arson",,,,,,"LAYER1","2"
"RMP","RM28.0.2.1","20","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.20","200","N","Escape/Abscond Risks",,,,,,"LAYER1","2"
"RMP","RM28.0.20.1","200","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.21","210","N","Risk to Children",,,,,,"LAYER1","2"
"RMP","RM28.0.21.1","210","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.22","220","N","Risk to Known Adult",,,,,,"LAYER1","2"
"RMP","RM28.0.22.1","220","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.23","230","N","Risk to Prisoners",,,,,,"LAYER1","2"
"RMP","RM28.0.23.1","230","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM28.0.24","240","N","Risk to Staff",,,,,,"LAYER1","2"
"RMP","RM28.0.24.1","240","N"," ","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"RMP","RM3","20","N","Level 2 - Local multi agency risk management","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM30","330","N","<b>Supervision</b><br/>Who will they see, when and why? Include frequency of reporting and any engagement with community resources to build social capital and encourage desistance. Do they have support from family or friends? How can that be supported?",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM31","340","N","<b>Monitoring and Control</b><br/>What restrictions will be in place to restrict their ability to offend? What steps can be taken to monitor the key risk factors in the case? How will that information be reported and collated and who by? Record here <b>all licence conditions/community order requirements/PPM restrictions used to monitor the person</b> or restrict their actions and movements. Not those related to programmes or victim protection.",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM32","360","N","<b>Interventions and Treatment</b><br/>What interventions will be delivered to develop internal controls and build the protective factors that you have identified would reduce risk? What practical support will be offered? Is there a role for psychological treatment? When will intervention or treatment be delivered and by whom? What <b>licence conditions/community order requirements/restrictions are required to support interventions</b> and what steps need to be taken to implement these interventions?",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM33","370","N","<b>Victim Safety Planning</b><br/>What restrictions are in place to specifically protect the victim, and those known adults or children assessed to be at risk from the Offender? Record all details of plans that protect them, being mindful about issues about disclosure. <b>Licence conditions/community order requirements/restrictions related to named individuals or exclusion zones designed to protect specific victims should be recorded here.</b>",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM34","390","N","<b>Contingency Plans</b><br/>Contingency plans should be in the format <b>...if X happens we will do Y...</b> What steps will be taken to address the circumstances that you have identified would increase the risk of serious harm if they take place? What will you do if parts of the plan were to break down? What will the response be to breach of licence conditions/community order requirements/restrictions? Who will take those actions and in what timescale?<br/><br/>When developing contingency plans consider what role increased supervision, additional monitoring/control or greater intervention might play when a trigger is detected. Additionally consider whether following the trigger greater protection is needed for those named individuals or groups at risk.",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM35","400","N","<b>Additional Comments</b>",,"TEXTAREA",,,,"LAYER1","2"
"RMP","RM36","180","N","Checklist Items Linked to Risk of Serious Harm",,,,,,"LAYER1","2"
"RMP","RM4","30","N","Level 3 - Multi Agency Public Protection Panel (MAPPP)","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM5","50","N","R11.2 Has this case been referred as a Critical Public Protection Case (refer to the Public Protection Manual)","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM6","10","N","If not, should this case be referred now","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM7","20","N","If not, should this case be referred pre-release","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM8","80","N","Is the offender required to register under the Sex Offender Act 1997","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","RM9","10","N","If YES, has the offender registered","Yes/YES|No/NO","SELECT",,,,"LAYER1","2"
"RMP","SUM4","380","N","In R10.4 you said the following would increase risk:",,"TEXTAREA",,,,"LAYER1","2"
"RMP","SUM5","350","N","In R10.5 you said the following would reduce risk:",,"TEXTAREA",,,,"LAYER1","2"
"ROSH","R1.2","20","Y","Has offender been convicted of any of the following offences",,,,,,"LAYER1","2"
"ROSH","R1.2.1","10","N","Murder / attempted murder / threat or conspiracy to murder / manslaughter",,,,,,"LAYER1","2"
"ROSH","R1.2.1.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.1.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.10","100","N","Possession of a firearm with intent to endanger life or resist arrest",,,,,,"LAYER1","2"
"ROSH","R1.2.10.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.10.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.11","110","N","Racially motivated / racially aggravated offence",,,,,,"LAYER1","2"
"ROSH","R1.2.11.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.11.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.12","120","N","Robbery",,,,,,"LAYER1","2"
"ROSH","R1.2.12.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.12.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.13","130","N","Any offence involving possession and / or use of weapons",,,,,,"LAYER1","2"
"ROSH","R1.2.13.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.13.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.14","140","N","Any other offence which is as serious, eg blackmail, harassment, stalking, indecent images of children, child neglect, abduction etc.  Indicate offence below",,,,,,"LAYER1","2"
"ROSH","R1.2.14.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.14.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.14.t","142","N","Indicate offence",,"TEXTAREA",,,,"LAYER1","2"
"ROSH","R1.2.15","150","N","None of the above apply",,,,,,"LAYER1","2"
"ROSH","R1.2.15.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.15.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.2","20","N","Wounding / GBH (Sections 18/20 Offences Against the Person Act 1861)",,,,,,"LAYER1","2"
"ROSH","R1.2.2.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.2.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.3","30","N","Any sexual offence against a child(ren)",,,,,,"LAYER1","2"
"ROSH","R1.2.3.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.3.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.4","40","N","Rape or serious sexual offence against an adult",,,,,,"LAYER1","2"
"ROSH","R1.2.4.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.4.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.5","50","N","Any other offence against a child (see revised Appendix 1)",,,,,,"LAYER1","2"
"ROSH","R1.2.5.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.5.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.6","60","N","Aggravated burglary",,,,,,"LAYER1","2"
"ROSH","R1.2.6.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.6.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.7","70","N","Arson",,,,,,"LAYER1","2"
"ROSH","R1.2.7.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.7.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.8","80","N","Criminal damage with the intent to endanger life",,,,,,"LAYER1","2"
"ROSH","R1.2.8.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.8.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.9","90","N","Kidnapping / false imprisonment",,,,,,"LAYER1","2"
"ROSH","R1.2.9.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.2.9.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3","30","Y","Significant events
On the information available to you has the offender
",,,,,,"LAYER1","2"
"ROSH","R1.3.1","10","N","Assaulted / threatened staff",,,,,,"LAYER1","2"
"ROSH","R1.3.1.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.1.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.10","100","N","Been a conditionally discharged patient subject to a restriction order under Section 41 MHA 1983",,,,,,"LAYER1","2"
"ROSH","R1.3.10.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.10.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.11","110","N","Received an extended sentence",,,,,,"LAYER1","2"
"ROSH","R1.3.11.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.11.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.12","120","N","Been a stalker",,,,,,"LAYER1","2"
"ROSH","R1.3.12.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.12.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.13","130","N","Displayed obsessive behaviour linked to offending",,,,,,"LAYER1","2"
"ROSH","R1.3.13.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.13.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.14","140","N","Been involved in bizarre or ritualistic aspects linked to offending",,,,,,"LAYER1","2"
"ROSH","R1.3.14.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.14.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.15","150","N","Displayed any offence-related behaviour observed in a custodial setting",,,,,,"LAYER1","2"
"ROSH","R1.3.15.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.15.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.16","160","N","Displayed any inappropriate behaviour towards members of staff, visitors or prisoners",,,,,,"LAYER1","2"
"ROSH","R1.3.16.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.16.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.17","170","N","Established links or associations, whilst in custody, which increase risk of serious harm",,,,,,"LAYER1","2"
"ROSH","R1.3.17.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.17.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.18","180","N","Committed an offence involving excessive use of violence or sadistic violence",,,,,,"LAYER1","2"
"ROSH","R1.3.18.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.18.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.19","190","N","None of the above apply",,,,,,"LAYER1","2"
"ROSH","R1.3.19.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.19.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.2","20","N","Assaulted / threatened others",,,,,,"LAYER1","2"
"ROSH","R1.3.2.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.2.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.3","30","N","Been violent towards partner / other member of their family",,,,,,"LAYER1","2"
"ROSH","R1.3.3.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.3.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.4","40","N","Committed a serious offence whilst not complying with medication",,,,,,"LAYER1","2"
"ROSH","R1.3.4.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.4.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.5","50","N","Been sentenced to four years imprisonment or more",,,,,,"LAYER1","2"
"ROSH","R1.3.5.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.5.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.6","60","N","Been involved in any hate-based behaviour",,,,,,"LAYER1","2"
"ROSH","R1.3.6.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.6.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.7","70","N","Been assessed as high risk of serious harm on a previous occasion",,,,,,"LAYER1","2"
"ROSH","R1.3.7.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.7.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.8","80","N","Been, or is subject to, life sentence / licence, or detained at Her Majesty's pleasure or ever received a sentence of imprisonment for life or imprisonment for public protection (S.225 CJA 2003) or a sentence of Detention for life or detention for public protection (S.226 CJA 2003)",,,,,,"LAYER1","2"
"ROSH","R1.3.8.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.8.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.9","90","N","Been a minor subject to life licence under s90-92 of the Powers of Criminal Courts (Sentencing) Act 2000",,,,,,"LAYER1","2"
"ROSH","R1.3.9.1","10","N","Current","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R1.3.9.2","20","N","Previous","Yes/YES","CHECKBOX",,,,"LAYER1","2"
"ROSH","R2.1","40","Y","Is the offender, now or on release, likely to live with, or have frequent contact with, any child who is on the child protection register or is being looked after by the local authority.","Yes/YES|No/NO|Don't Know/DK","SELECT",,"2",,"LAYER1","2"
