Re-ordered Oral & Short-form PSR assessment content v2.2 OASys OGRS & RSR only,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,,,,,,,,,
RSR match with existing ARN questions,,,,,,,,,,,,,,,,,,,,,,,,
New RSR questions,,,,,,,,,,,,,,,,,,,,,,,,
New ROSHA questions,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Question or information,Content ref.,Short-format PSR (Delius),Offender Group Reconviction Scale (OGRS),OASys Fast Delivery Report (FDR),Short-format PSR: printed template,Pre-sentence report (Template for reports delivered orally),"Risk of Serious Recidivism (RSR)
","Current question wording, inc. variations",Proposed question wording,Error summary,Error message,Reason for wording choice or change,Input type,"Business logic
(note that items marked out-of-line will show elsewhere on the page)",Notes,Spec ref.,OASys ref.,Value passed from OASys to RSR calculation,Mandatory for minimum OASys,Potentially exposed to changes to answer reference data?,Pre-populated?,Type (assumes new case),Taxonomy classification,Validated OASys Field
Purpose of assessment,20.1,,,,,,X,Purpose of assessment,Purpose of assessment,N/A if pre-populated,N/A if pre-populated,Consistency,Free text?,,,N/A,oasys_set.purpose_assessment_elm,,X,,,,Report details,x
PSR writer's name,26.1,,,X,X,X,X,"Name
Report author
Assessor name",Report author,N/A if pre-populated,N/A if pre-populated,Clarity,Free text,None,,,NOT HELD,,X,,Y,I,Assessor details,x
Assessor position,27.1,,,,,,X,Assessor position,Probation practitioner's position,N/A if pre-populated,N/A if pre-populated,Clarity,Free text?,None,,ID.32,oasys_set.assessor_position,,,,N,Q,Assessor details,x
Telephone number,28.1,,,,,,X,Telephone number,Telephone number,Enter a telephone number,Enter a telephone number,Consistency,Numeric,None,,ID.34,oasys_set.assessor_phone_number,,,,N,Q,Assessor details,x
Probation provider/prison,29.1,,,,,,X,Probation provider/prison,Probation provider/prison,N/A if pre-populated,N/A if pre-populated,Consistency,Free text?,None,,ID.31,oasys_set.assessor_area_est_code,,X,,N,Q,Assessor details,x
LDU,30.1,,,,,,X,LDU,LDU,Select a LDU,select a LDU,Consistency,Dropdown TBD,None,"Use dummy data for prototype prior to live system build, but will require up-to-date reference data for live",ID.33,oasys_set.originating_division_code,,X,,N,Q,Assessor details,x
Team,31.1,,,,,,X,Team,Team,Select a team,Select a team,Consistency,Dropdown TBD,None,"Use dummy data for prototype prior to live system build, but will require up-to-date reference data for live",ID.35,oasys_set.originating_team_code,,X,,N,Q,Assessor details,x
NPS countersigner/HMPS supervisor,32.1,,,,,,X,NPS countersigner/HMPS supervisor,NPS countersigner or HMPS supervisor,N/A if pre-populated,N/A if pre-populated,Avoid use of slashes,Free text?,None,,ID.36,oasys_set.countersigner_nam,,,,Y,I,Assessor details,x
Signing history,33.1,,,,,,X,Signing history,Signing history,N/A if pre-populated,N/A if pre-populated,Consistency,TBD,None,,ID.129,oasys_signing table,,X,,Y,I,Assessor details,x
Date report completed and signed,24.1,,,X,X,X,X,"Completion date
Date report completed and signed
Date assessment completed",Date report completed and signed,N/A if pre-populated,N/A if pre-populated,Clarity,Date,None,Out of scope - will be responsibility of PIC team. The system may automatically record this? Once the question part is finished and 'sent' is it deemed to be 'signed'?,,NOT HELD,,X,,Y,I,Report details,
Information sources,S29,,,,,,,,,,,,,,,,,,,,,,,
Source,298.1,,,,,,X,Sources of information,Sources of information,Select sources of information,Select sources of information,Consistency,"Check Boxes:
Bail inormation record
Basic custody screening
Community payback
Hostel
Interview
Judge's comments
Local authority
Medical
OASys SAQ
Police
Post-trial report
Pre-sentence report
Previous convictions
Previous OASys
Prison records
Prosecutor (inc CPS)
Psychiatric
Psychology
Request for information
Victim statement
Other",None,,ID.45,"Each individual source held, sources_information_pivot.sources_information_ELM",,,,N,Q,Information sources,x
Give details,299.1,,,,,,X,N/A,Give details,Enter details,Enter details,Consistency,Free text,None,Static free text box with 4000 character limit,ID.46,sources_info_other_ftxt,,,,N,Q,Information sources,x
Risk of Serious Recidivism (RSR),S4,,,,,,,,,,,,,,,,,,,,,,,
The offences,S5,,,,,,,,,,,,,,,,,,,,,,,
PSR/Court considered offence (Primary/most serious offence as judged by assessor),35.1,,X,,,,X,PSR/Court considered offence (Primary/most serious offence as judged by assessor),PSR or Court considered offence (Primary or most serious offence as judged by assessor),N/A if pre-populated,N/A if pre-populated,"Avoid use of slashes
Avoid use of parentheses","See OASys screens.

2x (aphanumeric?) fields labelled:
Offence
Subcode

Both fields displaying (numeric?) code values

+ buttons displayed to right of fields

(Free text?) fields to right of each '+' sign
button",None,,ID.44,1.1,"This is the offence code and subcode concatenated together taken from the CURRENT EVENT eg. 17505

NOTE: the RSR code will then need to work out if the offence is violent or not.  The RSR code package will need to work this out reading the CT_OFFENCE record and using the value in RSR_OFFENCE_CATEGORY accordingly.

This requires update to CT_OFFENCE table – JIRA NOD-294 which is part of 6.21 release
",,,Y,I,Offence details,x
Total number of sanctions?,43.1,,,,,,X,Total number of sanctions?,Total number of sanctions?,,,,Numeric,None,,,,,,,N,Q,Court appearances and convictions,New question to be added
"Age at first conviction, conditional or absolute discharge (record in years)",45.1,,,,,,X,"Age at first conviction, conditional or absolute discharge (record in years)","Age at first conviction, conditional or absolute discharge (record in years)",Enter age,Enter age,Shorter. 'record in years' instruction can be shown in grey text,Numeric,None,,S1.38,1.7,"ARN Content ref. 45.1 Age at first conviction, conditional or absolute discharge (record in years)
Pass blank if the question has NOT been answered
otherwise pass the number",,,N,Q,Court appearances and convictions,x
Date of current conviction,48.1,,X,,,,X,Date of current conviction,Date of current conviction,Add date of current conviction,Add date of current conviction,Consistency,Date,None,,OGRS3,1.29,"ARN Content ref. 48.1 Date of current conviction
Pass blank or date",,,N,Q,Court apperances & convictions,x
Have they ever committed a sexual or sexually motivated offence?,59.1,,,,,,X,Have they ever committed a sexual or sexually motivated offence?,Have they ever committed a sexual or sexually motivated offence?,Select yes or no (sexual or sexually-motivated offence),Select yes or no,Consistency,Y/N,"If Y then display questions
61.1
68.1
62.1
63.1
64.1
65.1
66.1
60.1",,RSR,1.30,"In the following logic ARN content ref. 59.1 is question: ‘Have they ever committed a sexual or sexually motivated offence?’
If ARN content ref. 59.1 = NULL then pass NULL
If ARN content ref.59.1 = ‘Yes’ then pass letter ‘Y’ (means there is a sexual element to the assessment, whether it be related to the current offence or a historic offence)
If ARN content ref.59.1 = ‘No’ then pass letter ‘N’ (means no sexual element)",,,N,Q,Offence details,x
Does the current offence have a sexual motivation?,68.1,,,,,,,Does the current offence have a sexual motivation?,Does the current offence have a sexual motivation?,Select yes or no (sexual or sexually-motivated offence),Select yes or no,,Y/N,"If Y then display question
61.1",,,,,,,N,,Offence details,New question to be added
Does the current offence involve actual/attemptd contact against a victem who was a strainger,61.1,,,,,,X,Does the current sexual offence have a stranger victim?,Does the current sexual offence have a stranger victim?,Select yes or no (contact against a stranger victim),Select yes or no,Consistency,Y/N,None,,RSR,1.31,"ARN content ref. 61.1 Have any of these involved actual/attempted contact against a victim who was a stranger?

If blank pass NULL
If Yes pass Y
If No pass N",,,N,Q,Victim,x
Date of commencement of community sentence or earliest possible release from custody,60.1,,,,,,X,Date of commencement of community sentence or earliest possible release from custody,Date of commencement of community sentence or earliest possible release from custody,Enter a date,Enter a date,Simpler,Date,None,,RSR,1.38,"ARN content ref. 60.1 Date of commencement of community sentence or earliest possible release from custody
Pass blank or the date",,,N,Q,Offence details,x
Date of most recent sexual offence,62.1,,,,,,X,Date of most recent sexual offence,Date of most recent sanction involving a sexual or sexually motivated offence,Enter the date of the most recent sanction involving a sexual or sexually motivated offence,Enter the date of the most recent sanction involving a sexual or sexually motivated offence,Clarity,Date,None,,RSR,1.33,"ARN content ref. 62.1 Date of the most recent sexual offence.
Pass blank or the date",,,N,Q,Offence details,x
Number of previous or current sanctions involving contact adult sexual or sexually motivated offences,63.1,,,,,,X,Number of previous/current sanctions involving contact adult sexual offences,Number of previous or current sanctions involving contact adult sexual or sexually motivated offences,Enter the number of previous or current sanctions involving contact adult sexual or sexually motivated offences,Enter the number of previous or current sanctions involving contact adult sexual or sexually motivated offences,Clarity,Numeric,None,,RSR,1.34,"ARN content ref. 63.1 Number of previous/current sanctions involving contact adult sexual/sexually motivated offences.
Pass blank if the question has NOT been answered otherwise pass the number",,,N,Q,Offence and sentence,x
Number of previous or current sanctions involving contact child sexual or sexually motivated offences,64.1,,,,,,X,Number of previous/current sanctions involving contact child sexual offences,Number of previous or current sanctions involving contact child sexual or sexually motivated offences,Enter the number of previous or current sanctions involving contact child sexual or sexually motivated offences,Enter the number of previous or current sanctions involving contact child sexual or sexually offences,Clarity,Numeric,None,,RSR,1.35,"ARN content ref. 64.1 Number of previous/current sanctions involving contact child sexual/sexually motivated offences.
Pass blank if the question has NOT been answered otherwise pass the number",,,N,Q,Offence and sentence,x
Number of previous or current sanctions involving indecent child image sexual or sexually motivted offences,65.1,,,,,,X,Number of previous/current sanctions involving indecent image sexual offences,Number of previous or current sanctions involving indecent child image sexual or sexually motivted offences,Enter the number of previous or current sanctions involving indecent child image sexual or sexually motivated offences,Enter the number of previous or current sanctions involving indecent child image sexual or sexually motivated offences,Clarity,Numeric,None,,RSR,1.36,"ARN content ref. 65.1 Number of previous/current sanctions involving indecent child image sexual/sexually motivated offences.
Pass blank if the question has NOT been answered otherwise pass the number",,,N,Q,Offence and sentence,x
Number of previous or current sanctions involving other non-contact sexual or sexually motivated offences,66.1,,,,,,X,Number of previous/current sanctions involving paraphilia sexual offences,Number of previous or current sanctions involving other non-contact sexual or sexually motivated offences,Number of previous or current sanctions involving other non-contact sexual or sexually motivated offences,Number of previous or current sanctions involving other non-contact sexual or sexually motivated offences,Clarity,Numeric,None,,RSR,1.37,"ARN content ref. 66.1 Number of previous/current sanctions involving other non-contact sexual/sexually motivated offences.
Pass blank if the question has NOT been answered otherwise pass the number",,,N,Q,Offence and sentence,x
Have you completed an offender interview?,67.1,,,,,,X,Have you completed an offender interview?,Have you completed an interview?,Select yes or no (interview completion),Select yes or no,Avoid use of 'offender' which introduces cognitive bias,Y/N,None,,RSR,1.39,"See static_calc function.

The answer to ARN Content ref. 67.1 Have you completed an interview? is used in the following way:

If the assessment is a RoSHA and ARN Content ref. 67.1 (OASys ref1.39) Have you completed an Offender interview? = ‘Yes’ then
 Pass ‘N’
Otherwise (ARN Content ref. 67.1 (OASys ref1.39) is set to ‘No’ or assessor has blanked it out)
 Pass ‘Y’
End

",X,,N,Q,Risk screening,x
Did the offence involve carrying/use of a weapon?,69.1,,,,,,X,Did the offence involve carrying/use of a weapon?,Did the offence involve carrying or use of a weapon?,Select yes or no (carrying or using weapon),Select yes or no,Clarity (avoid slashes),Y/N,Y > 70.1,,S2.2,2.2,"ARN Content ref. 69.1 From a Layer 3 or RoSHA this is question 2.2 ‘Carrying or using a weapon’ – if checkbox has been checked pass 1
otherwise pass 0",,,N,Q,Offence details,x
Specify which weapon,70.1,,,,,,X,Specify which weapon,Specify which weapon,,,Consistency,Free text?,None,,S2.3,2.2,,,,N,Q,Offence details,x
Needs,S9,,,,,,,,,,,,,,,,,,,,,,,
Is the offender living in suitable accommodation?,75.1,,,,,,X,Is the offender living in suitable accommodation?,Is the individual living in suitable accommodation?,Select the degree to which this is an issue (suitability of accommodation),Select the degree to which this is an issue,Avoid use of 'offender' which introduces cognitive bias,"Radios:
No problems
Some problems
Significant problems","Some problems > 76.1
Significant problems > 76.1","0,1,2 equates to none, some significant (problem) in OASys. This does not match the question wording very well. ",RSR,3.4,"ARN Content ref. 77.2 Suitability of accommodation
If blank or M pass NULL otherwise pass the score (0, 1, 2)",,,N,Q,Accommodation,x
Is the person unemployed or will be unemployed upon release?,80.2,,,,,,X,Is the person unemployed or will be unemployed upon release?,Is the person unemployed or will be unemployed upon release?,Enter yes or no (unemployed now or on release),,Consistency,Y/N,None,,,4.2,"ARN Content ref. 80.2 Is the person unemployed, or will be unemployed on release
If blank or M
 Pass NULL
Otherwise
 If ‘2-Yes’ (ref_answer_code = ‘YES’)
  Pass 1
 Otherwise (entered 0 – No {ref_answer_code = ‘NO’} or   0- not available for work
{ref_answer_code = ‘NA’})
     Pass 0
  End
End

",,,N,Q,"Education, training and employability",x
Relationships,86.1,X,,,X,,X,"What is the person's current relationship with his/her partner?
Relationships
Relevant factor: relationships",What is the person's current relationship with their partner?,Select the degree to which this is an issue (current relationship with partner),Select the degree to which this is an issue,Consistency,"Radios:
No problems
Some problems
Significant problems",None,"0,1,2 equates to none, some significant (problem) in OASys. This does not match the question wording very well.",RSR,6.4,"ARN Content ref. 86.1 Current relationship with partner

If blank or M pass NULL otherwise pass the score (0, 1, 2)",,,N,Q,Relationships,x
Is there evidence that the offender is a perpetrator of domestic violence/partner abuse?,87.1,,,,,,X,Is there evidence that the offender is a perpetrator of domestic violence/partner abuse?,Is there evidence that the individual is a perpetrator of domestic violence or partner abuse?,Select yes or no (perpetrator of domestic violence or partner abuse?),Select yes or no,"Clarity (avoid slashes)
Avoid use of 'offender' which introduces cognitive bias",Y/N,"If Y display question 88.1
And
If Y then display victim/perpetrator radios",,RSR,6.7,,,,N,Q,Relationships,x
Victim/perpetrator,88.1,,,,,,X,Victim/perpetrator,Victim or perpetrator,Select victim or perpetrator,Select victim or perpetrator,Avoid slashes,"Radios
Victim
Perpetrator",None,,RSR,6.7.1,ARN Content ref. 88.1 From a Layer 3 or RoSHA at 6.7 if the PERPETRATOR checkbox has been checked pass 1 otherwise 0,,,N,Q,Relationships,x
Is there evidence of binge drinking or excessive use of alcohol in the last 6 months?,92.1,,,,,,X,Is there evidence of binge drinking or excessive use of alcohol in the last 6 months?,Is there evidence of binge drinking or excessive use of alcohol in the last 6 months?,Select the degree to which this is an issue (evidence of binge drinking or excessive alcohol use),Select the degree to which this is an issue,Consistency,"Radios:
No problems
Some problems
Significant problems","Some problems > 93.1
Significant problems > 93.1","0,1,2 equates to none, some significant (problem) in OASys. This does not match the question wording very well.",RSR,9.2,"ARN Content ref. 92.1 Binge drinking or excessive use of alcohol in last 6 months

If blank or M pass NULL otherwise pass the score (0, 1, 2)",,,N,Q,Alcohol misuse,x
Is impulsivity a problem for the offender?,113.1,,,X,,,X,"Is impulsivity a problem for the offender?
Is there evidence that the offender demonstrates impulsive thinking and / or behaviour?",Is impulsivity a problem for the individual?,Select the degree to which this is an issue (impulsivity),Select the degree to which this is an issue,Avoid use of 'offender' which introduces cognitive bias,"Radios:
No problems
Some problems
Significant problems","Some problems > 114.1
Significant problems > 114.1","0,1,2 equates to none, some significant (problem) in OASys. This does not match the question wording very well.",RSR,11.2,"ARN Content ref. 113.1 Impulsivity

If blank or M pass NULL otherwise pass the score (0, 1, 2)",,,N,Q,Thinking & behaviour,x
Is temper control a problem for the offender?,115.1,,,,,,X,Is temper control a problem for the offender?,Is temper control a problem for the individual?,Select the degree to which this is an issue (temper control),Select the degree to which this is an issue,Avoid use of 'offender' which introduces cognitive bias,"Radios:
No problems
Some problems
Significant problems",None,"0,1,2 equates to none, some significant (problem) in OASys. This does not match the question wording very well.",RSR,11.4,"ARN Content ref.115.1 Temper control.

If blank or M pass NULL otherwise pass the score (0, 1, 2)",,,N,Q,Thinking & behaviour,x
Does the offender have pro-criminal attitudes?,116.1,,,,,,X,Does the offender have pro-criminal attitudes?,Does the individual have pro-criminal attitudes?,Select the degree to which this is an issue (pro-criminal attitudes),Select the degree to which this is an issue,Avoid use of 'offender' which introduces cognitive bias,"Radios:
No problems
Some problems
Significant problems",None,"0,1,2 equates to none, some significant (problem) in OASys. This does not match the question wording very well.",RSR,12.1,"ARN Content ref. 116.1 Pro-criminal attitudes

If blank or M pass NULL otherwise pass the score (0, 1, 2)",,,N,Q,Thinking & behaviour,x
Are you completing a risk assessment?,128.1,,,,,,X,Are you completing a risk assessment?,Are you completing a risk assessment?,Select yes or no (risk assessment),Select yes or no,Consistency,Y/N,If N then do not display sections S10 to S23 inclusive,,RSR,,,X,,N,Q,Risk analysis and summaries,x
Risk of serious harm screening,S10,,,,,,,,,,,,,,,,,,,,,,,
Has offender been convicted of any of the following offences:,129.1,,,,,,,Has offender been convicted of any of the following offences:,Has the individual been convicted of any of the following?,Select any previous convictions,Select any previous convictions,"Shorter
Avoid use of 'offender' which introduces cognitive bias",Non-input,"If any of the checkboxes 130.1 to 164.1 are selected then section S13 must be completed unless answer to question 180.1 is 'Yes'.

The RoSH Full Analysis only appears if the RoSH Screening section has section S10 completed and/or any of the other questions within the RoSH Screening are marked as ‘Yes’ (apart from 145.1 and 164.1 having ‘None of the above apply) and 180.1 has NOT been completed.",,,HEADING,,,,N/A,I,Offence analysis,Heading
Murder/attempted murder/threat or conspiracy to murder/manslaughter,130.1,,,,,,,Murder/attempted murder/threat or conspiracy to murder/manslaughter,"Murder, attempted murder, threat or conspiracy to murder, or manslaughter",N/A,N/A,Clarity (avoid slashes),"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.1.2,"ARN Content ref. 130.1 ‘Murder / attempted murder / threat or conspiracy to murder / manslaughter’

If this checkbox is checked (R1.2.1.2 in database) pass 1 otherwise pass 0",,,N,Q,Offence analysis,x
Wounding/GBH (Sections 18/20 Offences Against the Person ACT 1861),131.1,,,,,,,Wounding/GBH (Sections 18/20 Offences Against the Person ACT 1861),Wounding or GBH ,N/A,N/A,"Clarity (avoid slashes)
Simpler. Text in parentheses can be shown via display component if required.","Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.2.2,"ARN Content ref. 131.1 R1.2 ‘Wounding / GBH (Sections 18/20 Offences Against the Person Act)’

If this checkbox is checked (R1.2.2.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Any sexual offence against a child(ren,132.1,,,,,,,Any sexual offence against a child(ren,Any sexual offence against a child,N/A,N/A,Simpler. Plural can be implied.,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.3.2,,,,N,Q,Offence analysis,x
Rape or serious sexual offence against an adult,133.1,,,,,,,Rape or serious sexual offence against an adult,Rape or serious sexual offence against an adult,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.4.2,,,,N,Q,Offence analysis,x
Any other offence against a child (see revised Appendix 1),134.1,,,,,,,Any other offence against a child (see revised Appendix 1),Any other offence against a child ,N/A,N/A,Text in parentheses can be shown via display component if required.,"Text, checkboxes
Current offence
Previous offence",None,Use detail component for help re. appendix reference,SC.2,R1.2.5.2,,,,N,Q,Offence analysis,x
Aggravated burglary,135.1,,,,,,,Aggravated burglary,Aggravated burglary,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.6.2,"ARN Content ref. 135.1 Aggravated burglary

If this checkbox is checked (R1.2.6.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Arson,136.1,,,,,,,Arson,Arson,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.7.2,"ARN Content ref. 136.1  Arson
If this checkbox is checked (R1.2.7.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Criminal damage with intent to endanger life,137.1,,,,,,,Criminal damage with intent to endanger life,Criminal damage with intent to endanger life,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.8.2,"ARN Content ref. 137.1 ‘Criminal damage with the intent to endanger life’

If this checkbox is checked (R1.2.8.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Kidnapping/false imprisonment,138.1,,,,,,,Kidnapping/false imprisonment,Kidnapping or false imprisonment,N/A,N/A,Clarity (avoid slashes),"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.9.2,"ARN Content ref. 138.1 ‘Kidnapping / false imprisonment’

If this checkbox is checked (R1.2.9.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Possession of a firearm with intent to endanger life or resist arrest,139.1,,,,,,,Possession of a firearm with intent to endanger life or resist arrest,Possession of a firearm with intent to endanger life or resist arrest,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.10.2,"ARN Content ref. 139.1 ‘Possession of a firearm with intent to endanger life or resist arrest’

If this checkbox is checked (R1.2.10.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Racially motivated / racially aggravated offence,140.1,,,,,,,Racially motivated / racially aggravated offence,A racially motivated or racially aggravated offence,N/A,N/A,Clarity (avoid slashes),"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.11.2,,,,N,Q,Offence analysis,x
Robbery,141.1,,,,,,,Robbery,Robbery,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.12.2,"ARN Content ref. 141.1

If this checkbox is checked (R1.2.12.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
Any other offence involving possession and/or use of weapons,142.1,,,,,,,Any other offence involving possession and/or use of weapons,Any other offence involving possession and/or use of weapons,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.13.2,"ARN Content ref. 142.1 ‘Any offence involving possession and/or use of weapons’

If this checkbox is checked (R1.2.13.2 in database) pass 1 otherwise 0",,,N,Q,Offence analysis,x
"Any other offence which is as serious, eg blackmail, harassment, stalking, child pornography, child neglect, abduction etc.  Indicate offence below",143.1,,,,,,,"Any other offence which is as serious, eg blackmail, harassment, stalking, child pornography, child neglect, abduction etc.  Indicate offence below","Any other offence which is as serious, eg blackmail, harassment, stalking, child pornography, child neglect, abduction etc.  Indicate offence below",N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence","Current offence > 144.1
Previous offence > 144.1",,SC.2,R1.2.14.2,,,,N,Q,Offence analysis,x
Give details,144.1,,,,,,,N/A,Give details,N/A,N/A,Consistency,Free text,None,,SC.2,R1.2.14.t,,,,N,Q,Offence analysis,x
None of the above apply,145.1,,,,,,,None of the above apply,None of the above apply,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous offence",None,,SC.2,R1.2.15.2,,X,,N,Q,Offence analysis,x
On the information available to you has the offender,146.1,,,,,,,On the information available to you has the offender,On the information available to you has the individual,,,Consistency,,None,,,HEADING,,,,Y,I,Offence analysis,Heading
Assaulted / threatened staff,147.1,,,,,,,Assaulted / threatened staff,Assaulted or threatened staff,N/A,N/A,Clarity (avoid slashes),"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.1.2,,,,N,Q,Offence analysis,x
Assaulted / threatened others,148.1,,,,,,,Assaulted / threatened others,Assaulted or  threatened others,N/A,N/A,Clarity (avoid slashes),"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.2.2,,,,N,Q,Offence analysis,x
Been violent towards partner / other member of their family,149.1,,,,,,,Been violent towards partner / other member of their family,Been violent towards partner or other member of their family,N/A,N/A,Clarity (avoid slashes),"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.3.2,,,,N,Q,Offence analysis,x
Committed a serious offence whilst not complying with medication,150.1,,,,,,,Committed a serious offence whilst not complying with medication,Committed a serious offence whilst not complying with medication,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.4.2,,,,N,Q,Offence analysis,x
Been involved in any hate-based behaviour,152.1,,,,,,,Been involved in any hate-based behaviour,Been involved in any hate-based behaviour,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.6.2,,,,N,Q,Offence analysis,x
Been assessed as high risk of serious harm on a previous occasion,153.1,,,,,,,Been assessed as high risk of serious harm on a previous occasion,Been assessed as high risk of serious harm on a previous occasion,N/A,N/A,Consistency,"Text, checkboxes
Current offence
Previous behaviour",None,,SC.3,R1.3.7.2,,,,N,Q,Offence analysis,x
